pred_len	mse	mae
96	0.2892829477787018	0.34448838233947754
192	0.3276676535606384	0.36736631393432617
336	0.3625340461730957	0.3874640464782715
720	0.41928938031196594	0.41917502880096436
AVG	0.3496935070	0.3796234429
