pred_len	mse	mae
96	0.30247870087623596	0.34365248680114746
192	0.3363786041736603	0.36362898349761963
336	0.3711530566215515	0.38306546211242676
720	0.4284329116344452	0.41624271869659424
AVG	0.3596108183	0.3766474128
