pred_len	mse	mae
96	0.3843865990638733	0.4068886637687683
192	0.40670305490493774	0.4193509817123413
336	0.4348036050796509	0.4327518939971924
720	0.4786734879016876	0.4570823609828949
AVG	0.4261416867	0.4290184751
